Visitor ID,District,Month Number,Month,Year,Domestic Visitors,Foreign Visitors,Total Visitors
visitor-10,Adilabad,9,September,2014,491279,8,491287
visitor-100,Karimnagar,3,March,2014,1018399,0,1018399
visitor-1000,Kumaram Bheem Asifabad,3,March,2017,2767,0,2767
visitor-1001,Kumaram Bheem Asifabad,4,April,2017,3074,0,3074
visitor-1002,Kumaram Bheem Asifabad,5,May,2017,3416,0,3416
visitor-1003,Kumaram Bheem Asifabad,6,June,2017,3796,0,3796
visitor-1004,Kumaram Bheem Asifabad,7,July,2017,3713,0,3713
visitor-1005,Kumaram Bheem Asifabad,8,August,2017,3665,0,3665
visitor-1006,Kumaram Bheem Asifabad,9,September,2017,3934,0,3934
visitor-1007,Kumaram Bheem Asifabad,10,October,2017,14050,0,14050
visitor-1008,Kumaram Bheem Asifabad,11,November,2017,3627,0,3627
visitor-1009,Kumaram Bheem Asifabad,12,December,2017,4218,0,4218
visitor-101,Karimnagar,4,April,2014,956959,0,956959
visitor-1010,Mahabubabad,1,January,2017,13260,0,13260
visitor-1011,Mahabubabad,2,February,2017,13045,0,13045
visitor-1012,Mahabubabad,3,March,2017,9100,0,9100
visitor-1013,Mahabubabad,4,April,2017,9140,0,9140
visitor-1014,Mahabubabad,5,May,2017,10220,0,10220
visitor-1015,Mahabubabad,6,June,2017,10130,0,10130
visitor-1016,Mahabubabad,7,July,2017,10170,0,10170
visitor-1017,Mahabubabad,8,August,2017,12520,0,12520
visitor-1018,Mahabubabad,9,September,2017,13140,0,13140
visitor-1019,Mahabubabad,10,October,2017,13750,0,13750
visitor-102,Karimnagar,5,May,2014,1095642,0,1095642
visitor-1020,Mahabubabad,11,November,2017,13560,0,13560
visitor-1021,Mahabubabad,12,December,2017,13780,0,13780
visitor-1022,Mahabubnagar,1,January,2017,446135,42,446177
visitor-1023,Mahabubnagar,2,February,2017,805392,39,805431
visitor-1024,Mahabubnagar,3,March,2017,178256,38,178294
visitor-1025,Mahabubnagar,4,April,2017,208694,39,208733
visitor-1026,Mahabubnagar,5,May,2017,214209,41,214250
visitor-1027,Mahabubnagar,6,June,2017,179210,43,179253
visitor-1028,Mahabubnagar,7,July,2017,179099,42,179141
visitor-1029,Mahabubnagar,8,August,2017,215229,44,215273
visitor-103,Karimnagar,6,June,2014,914746,0,914746
visitor-1030,Mahabubnagar,9,September,2017,180675,54,180729
visitor-1031,Mahabubnagar,10,October,2017,196103,47,196150
visitor-1032,Mahabubnagar,11,November,2017,259060,49,259109
visitor-1033,Mahabubnagar,12,December,2017,426167,42,426209
visitor-1034,Mancherial,1,January,2017,2937,0,2937
visitor-1035,Mancherial,2,February,2017,3130,0,3130
visitor-1036,Mancherial,3,March,2017,2775,0,2775
visitor-1037,Mancherial,4,April,2017,1513,0,1513
visitor-1038,Mancherial,5,May,2017,1424,0,1424
visitor-1039,Mancherial,6,June,2017,2119,0,2119
visitor-104,Karimnagar,7,July,2014,401047,0,401047
visitor-1040,Mancherial,7,July,2017,33591,0,33591
visitor-1041,Mancherial,8,August,2017,26104,0,26104
visitor-1042,Mancherial,9,September,2017,24297,0,24297
visitor-1043,Mancherial,10,October,2017,37671,0,37671
visitor-1044,Mancherial,11,November,2017,25737,0,25737
visitor-1045,Mancherial,12,December,2017,30328,0,30328
visitor-1046,Medak,1,January,2017,523000,0,523000
visitor-1047,Medak,2,February,2017,543321,0,543321
visitor-1048,Medak,3,March,2017,548535,0,548535
visitor-1049,Medak,4,April,2017,554864,0,554864
visitor-105,Karimnagar,8,August,2014,1018399,0,1018399
visitor-1050,Medak,5,May,2017,556891,0,556891
visitor-1051,Medak,6,June,2017,561469,0,561469
visitor-1052,Medak,7,July,2017,575300,0,575300
visitor-1053,Medak,8,August,2017,632830,0,632830
visitor-1054,Medak,9,September,2017,696113,0,696113
visitor-1055,Medak,10,October,2017,765724,0,765724
visitor-1056,Medak,11,November,2017,842296,0,842296
visitor-1057,Medak,12,December,2017,926526,0,926526
visitor-1058,Medchal,1,January,2017,0,0,0
visitor-1059,Medchal,2,February,2017,0,0,0
visitor-106,Karimnagar,9,September,2014,956959,0,956959
visitor-1060,Medchal,3,March,2017,0,0,0
visitor-1061,Medchal,4,April,2017,0,0,0
visitor-1062,Medchal,5,May,2017,0,0,0
visitor-1063,Medchal,6,June,2017,0,0,0
visitor-1064,Medchal,7,July,2017,0,0,0
visitor-1065,Medchal,8,August,2017,0,0,0
visitor-1066,Medchal,9,September,2017,0,0,0
visitor-1067,Medchal,10,October,2017,0,0,0
visitor-1068,Medchal,11,November,2017,0,0,0
visitor-1069,Medchal,12,December,2017,0,0,0
visitor-107,Karimnagar,10,October,2014,13675,0,13675
visitor-1070,Nagarkurnool,1,January,2017,382879,19,382898
visitor-1071,Nagarkurnool,2,February,2017,286258,25,286283
